iter,decision,simA,simB,sharpA,sharpB,timestamp
147,Reconstruction A,,,2497.5400390625,1152.4127197265625,1759418320.6946187
148,Reconstruction A,,,743.0716552734375,405.4676513671875,1759418327.035579
149,Reconstruction A,,,1295.0189208984375,1018.448486328125,1759418333.5586598
150,Reconstruction A,,,576.3305053710938,405.4676513671875,1759418340.174973
151,Reconstruction A,,,1129.83544921875,403.6817321777344,1759418346.5584028
152,Reconstruction A,,,752.9610595703125,405.4676513671875,1759418352.8685918
153,Tie,,,1250.630859375,1262.2135009765625,1759418359.3181152
154,Reconstruction A,,,674.0484008789062,405.4676513671875,1759418365.7252076
155,Reconstruction A,,,1125.0733642578125,804.7855834960938,1759418372.172965
156,Reconstruction B,,,706.0545043945312,1271.306884765625,1759418378.5062027
157,Reconstruction A,,,682.6663818359375,405.4676513671875,1759418384.951046
158,Reconstruction A,,,930.7288208007812,405.4676513671875,1759418391.3026843
159,Reconstruction B,,,689.3255615234375,1062.8818359375,1759418397.7020974
160,Reconstruction A,,,701.1478881835938,405.4676513671875,1759418403.8748057
161,Reconstruction A,,,1492.4764404296875,137.3251495361328,1759418410.0243149
162,Reconstruction A,,,566.214111328125,403.6817321777344,1759418416.223565
163,Reconstruction B,,,811.3743286132812,2272.39453125,1759418422.5668726
164,Reconstruction A,,,1569.083740234375,405.4676513671875,1759418428.767157
165,Reconstruction A,,,748.2568969726562,405.4676513671875,1759418435.0745974
166,Reconstruction A,,,673.9412841796875,403.6817321777344,1759418441.2764618
167,Reconstruction A,,,855.6390991210938,405.4676513671875,1759418447.4379764
168,Reconstruction A,,,737.9568481445312,403.6817321777344,1759418453.6885247
169,Reconstruction A,,,608.7686157226562,403.6817321777344,1759418459.8986652
170,Reconstruction A,,,1058.9796142578125,405.4676513671875,1759418466.1253157
171,Reconstruction A,,,2921.447021484375,542.9854125976562,1759418473.015173
172,Reconstruction A,,,640.2201538085938,405.4676513671875,1759418479.2821238
173,Reconstruction B,,,771.7354736328125,788.5189208984375,1759418485.6852374
174,Reconstruction B,,,1371.843505859375,1544.51806640625,1759418497.5623283
175,Reconstruction A,,,942.0211791992188,405.4676513671875,1759418503.8660505
176,Reconstruction A,,,1084.5521240234375,819.0952758789062,1759418510.171186
177,Reconstruction B,,,894.3153686523438,1324.3819580078125,1759418516.4727633
178,Reconstruction A,,,1091.371337890625,403.6817321777344,1759418522.7013469
179,Reconstruction A,,,977.281494140625,403.6763000488281,1759418529.0274928
180,Reconstruction A,,,739.4418334960938,137.3251495361328,1759418535.1512854
181,Reconstruction B,,,839.8265991210938,2960.140869140625,1759418541.419188
182,Reconstruction A,,,1937.8614501953125,405.4676513671875,1759418548.0025241
183,Reconstruction A,,,1903.7310791015625,405.4676513671875,1759418554.207007
184,Reconstruction A,,,2165.881103515625,878.5354614257812,1759418560.4693482
185,Reconstruction B,,,169.3407440185547,403.6817321777344,1759418567.0038514
186,Reconstruction B,,,1071.7252197265625,2017.4993896484375,1759418573.5272107
187,Reconstruction A,,,2497.5400390625,1498.88330078125,1759418580.3108912
188,Reconstruction A,,,1259.849365234375,1107.500244140625,1759418586.9898145
189,Reconstruction A,,,864.5420532226562,405.4676513671875,1759418593.155598
190,Reconstruction B,,,721.6105346679688,889.4949951171875,1759418599.453467
191,Reconstruction A,,,555.4229736328125,405.4676513671875,1759418605.6685972
192,Reconstruction B,,,1045.171630859375,1181.570068359375,1759418611.9649549
193,Reconstruction B,,,1055.9754638671875,1114.484130859375,1759418618.7622814
194,Reconstruction A,,,598.6681518554688,405.4676513671875,1759418625.0093868
195,Reconstruction B,,,340.6178283691406,405.4676513671875,1759418631.4253292
196,Reconstruction A,,,1402.2271728515625,826.47119140625,1759418637.8382068
197,Reconstruction A,,,772.9293823242188,405.4676513671875,1759418644.0514934
198,Reconstruction B,,,829.913330078125,935.5150756835938,1759418650.6111252
199,Reconstruction B,,,693.7489013671875,1425.86767578125,1759418657.4952726
200,Reconstruction A,,,552.8425903320312,405.4676513671875,1759418663.7567754
201,Reconstruction A,,,566.3233642578125,543.8365478515625,1759418670.0512362
202,Reconstruction A,,,687.1261596679688,405.4676513671875,1759418676.509257
203,Reconstruction A,,,1321.3846435546875,701.0556030273438,1759418682.8007414
204,Reconstruction A,,,2921.447021484375,1144.3116455078125,1759418689.5125365
205,Reconstruction A,,,700.4063720703125,405.4676513671875,1759418695.6783972
206,Reconstruction A,,,680.32470703125,405.4676513671875,1759418701.8049781
207,Reconstruction A,,,813.56494140625,715.3978881835938,1759418708.0153024
208,Reconstruction A,,,593.243896484375,405.4676513671875,1759418714.2638035
209,Reconstruction B,,,880.6965942382812,1428.3548583984375,1759418721.0502107
210,Reconstruction A,,,441.25836181640625,137.3251495361328,1759418727.1316214
211,Reconstruction B,,,218.51065063476562,950.3607177734375,1759418733.6388261
212,Reconstruction A,,,721.5467529296875,405.4676513671875,1759418739.8472865
213,Reconstruction A,,,1808.6572265625,405.4676513671875,1759418746.1618252
214,Reconstruction A,,,809.6844482421875,652.0398559570312,1759418752.3360057
215,Reconstruction B,,,587.3316650390625,1447.6466064453125,1759418759.08606
216,Reconstruction A,,,1055.8770751953125,405.4676513671875,1759418765.417012
217,Reconstruction B,,,997.5758056640625,1165.251708984375,1759418777.3272092
218,Reconstruction A,,,815.9583740234375,405.4676513671875,1759418783.5824122
219,Reconstruction A,,,565.9744873046875,403.6817321777344,1759418789.9430504
220,Reconstruction A,,,939.3724975585938,405.4676513671875,1759418796.328982
221,Reconstruction A,,,854.3528442382812,403.6817321777344,1759418802.5364618
222,Reconstruction B,,,969.5508422851562,1147.699462890625,1759418808.9452574
223,Reconstruction A,,,838.933837890625,810.0768432617188,1759418815.7410002
224,Reconstruction A,,,2921.447021484375,405.4676513671875,1759418821.9770446
225,Reconstruction B,,,701.576416015625,1710.646728515625,1759418828.4943192
226,Reconstruction A,,,791.288818359375,405.4676513671875,1759418834.7151356
227,Reconstruction A,,,740.7670288085938,699.8576049804688,1759418841.1601646
228,Reconstruction A,,,2921.447021484375,405.4676513671875,1759418847.3913674
229,Reconstruction A,,,4059.79833984375,3456.38037109375,1759418859.400557
230,Reconstruction A,,,2588.76171875,405.4676513671875,1759418865.6511118
231,Reconstruction B,,,945.662353515625,1219.6954345703125,1759418871.975401
232,Reconstruction B,,,644.1952514648438,674.8527221679688,1759418878.7271588
